"Region","Year","Age Range","Illicit Drug Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.56
"Connecticut","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.67
"Connecticut","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.65
"Connecticut","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.59
"Connecticut","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.48
"Connecticut","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.8
"Connecticut","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.87
"Connecticut","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.3
"Connecticut","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.17
"Connecticut","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.77
"Connecticut","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",6.66
"Connecticut","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.26
"Connecticut","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",9.59
"Connecticut","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.55
"Connecticut","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",23.11
"Connecticut","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.47
"Connecticut","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",7.72
"Connecticut","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.37
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.91
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.42
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.64
"Connecticut","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.49
"Connecticut","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.24
"Connecticut","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.03
"Connecticut","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.2
"Connecticut","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.66
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.17
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.39
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.56
"Connecticut","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.45
"Connecticut","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",5.91
"Connecticut","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.04
"Connecticut","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.49
"Connecticut","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.67
"Connecticut","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.55
"Connecticut","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.63
"Connecticut","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.39
"Connecticut","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.89
"Connecticut","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.72
"Connecticut","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.52
"Connecticut","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.38
"Connecticut","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.79
"Connecticut","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",5.8
"Connecticut","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.17
"Connecticut","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",8.75
"Connecticut","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.43
"Connecticut","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",24.71
"Connecticut","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.5
"Connecticut","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",8.28
"Connecticut","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.47
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.91
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.45
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.72
"Connecticut","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.55
"Connecticut","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.22
"Connecticut","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.22
"Connecticut","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.56
"Connecticut","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.78
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.29
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.42
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.75
"Connecticut","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.54
"Connecticut","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",6.72
"Connecticut","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.28
"Connecticut","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.8
"Connecticut","2008-2010","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.83
"Connecticut","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.31
"Connecticut","2010-2012","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.56
"Connecticut","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.77
"Connecticut","2010-2012","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.95
"Connecticut","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.83
"Connecticut","2010-2012","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.56
"Connecticut","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.53
"Connecticut","2010-2012","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.81
"Connecticut","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",6.14
"Connecticut","2010-2012","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.27
"Connecticut","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",8.39
"Connecticut","2010-2012","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.51
"Connecticut","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",25.84
"Connecticut","2010-2012","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.48
"Connecticut","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",7.89
"Connecticut","2010-2012","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.35
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.03
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.42
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.71
"Connecticut","2010-2012","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.52
"Connecticut","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.85
"Connecticut","2010-2012","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.27
"Connecticut","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.37
"Connecticut","2010-2012","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.7
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.39
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.4
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.82
"Connecticut","2010-2012","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.51
"Connecticut","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",7.36
"Connecticut","2010-2012","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.33
"Connecticut","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.66
"Connecticut","2010-2012","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.71
"Connecticut","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.81
"Connecticut","2012-2014","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.48
"Connecticut","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",3.41
"Connecticut","2012-2014","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.82
"Connecticut","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",9.89
"Connecticut","2012-2014","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.51
"Connecticut","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.64
"Connecticut","2012-2014","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.77
"Connecticut","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",6.98
"Connecticut","2012-2014","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.47
"Connecticut","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",9.13
"Connecticut","2012-2014","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.63
"Connecticut","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",25.74
"Connecticut","2012-2014","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.55
"Connecticut","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",6.88
"Connecticut","2012-2014","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.23
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.08
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.39
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.75
"Connecticut","2012-2014","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.49
"Connecticut","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.44
"Connecticut","2012-2014","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.19
"Connecticut","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.95
"Connecticut","2012-2014","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.6
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.3
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.35
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.73
"Connecticut","2012-2014","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.47
"Connecticut","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8
"Connecticut","2012-2014","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.22
"Connecticut","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.32
"Connecticut","2012-2014","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.65
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",3.25
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.39
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",5.88
"Eastern Region","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",2.06
"Eastern Region","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",11.12
"Eastern Region","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",3.05
"Eastern Region","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",5.58
"Eastern Region","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.88
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",-9999
"Eastern Region","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.52
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.89
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",3.24
"Eastern Region","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.98
"Eastern Region","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.15
"Eastern Region","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.34
"Eastern Region","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.4
"Eastern Region","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.37
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.25
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.65
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.52
"Eastern Region","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.78
"Eastern Region","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",6.41
"Eastern Region","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.27
"Eastern Region","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.71
"Eastern Region","2004-2006","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.21
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.64
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.9
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.5
"Eastern Region","2006-2008","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.36
"Eastern Region","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.77
"Eastern Region","2006-2008","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.64
"Eastern Region","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.64
"Eastern Region","2006-2008","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.32
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",5.92
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",2.33
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",8.98
"Eastern Region","2006-2008","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",3
"Eastern Region","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",-9999
"Eastern Region","2006-2008","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",8.44
"Eastern Region","2006-2008","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.55
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.96
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.76
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.78
"Eastern Region","2006-2008","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1
"Eastern Region","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.32
"Eastern Region","2006-2008","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.35
"Eastern Region","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.54
"Eastern Region","2006-2008","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.1
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.14
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.6
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.49
"Eastern Region","2006-2008","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.77
"Eastern Region","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",7.22
"Eastern Region","2006-2008","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.22
"Eastern Region","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",2.52
"Eastern Region","2006-2008","Over 25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.03
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.44
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.23
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",4.2
"Eastern Region","2008-2010","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.6
"Eastern Region","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.98
"Eastern Region","2008-2010","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.85
"Eastern Region","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.37
"Eastern Region","2008-2010","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.31
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",4.96
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.71
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",7.62
"Eastern Region","2008-2010","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",2.3
"Eastern Region","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",-9999
"Eastern Region","2008-2010","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",7.96
"Eastern Region","2008-2010","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",2.38
"Eastern Region","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.84
"Eastern Region","2008-2010","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.7
"Eastern Region","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.69
"Eastern Region","2008-2010","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.94
"Eastern Region","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.74
"Eastern Region","2008-2010","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.71
"Eastern Region","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.37
"Eastern Region","2008-2010","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.41
"Eastern Region","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.19
"Eastern Region","2008-2010","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.63
"Eastern Region","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.65
"Eastern Region","2008-2010","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.87
"Eastern Region","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",7.88
"Eastern Region","2008-2010","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.64
